Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde maior com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde maior com sétima maior,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde maior com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde maior com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde maior com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,A,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,B,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,C,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,D,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,E,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,F,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,G,acorde_NADA,acorde_NADA,,,0em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,A,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,B,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,D,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,E,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
acorde menor com sétima maior,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,A,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,C,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,D,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,F,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
acorde menor com sétima maior,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
acorde menor com sétima maior,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
acorde menor com sétima maior,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
acorde menor com sétima maior,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
acorde menor com sétima maior,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
outros,[D],,,,,0.07em,,,
outros,(E),,,,,0.07em,,,
outros,…,,,,,,,,
outros,e,acorde_NADA,acorde_NADA,,,0em,,,
outros,/A,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,A,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
outros,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,G,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
outros,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/E,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/A,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,G,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,-0.16em,,,
outros,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,A,acorde_NADA,acorde_NADA,,,0em,,,
outros,m,acorde_MENOR_8pt_track,acorde_MENOR_8pt_track,8pt,,0.04em,,,
outros,/G,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,G,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
outros,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,F,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,-0.16em,,,
outros,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,/E,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
outros,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
outros,ø,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",10pt,2.5pt,0.03em,,,
outros,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,-0.15em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
outros,7,acorde_NUMEROS_9pt_--track,acorde_NUMEROS_9pt_--track,9pt,,-0.15em,,,
outros,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
outros,E,acorde_NADA,acorde_NADA,,,0em,,,
outros,+,acorde_AUMENTADO_8pt_shift4_5pt_-track,"acorde_AUMENTADO_8pt_shift4,5pt_-track",8pt,4.5pt,-0.2em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
outros,11,acorde_NUMEROS_9pt_-track,acorde_NUMEROS_9pt_-track,9pt,,-0.1em,,,
outros,B,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,/F,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,C,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,,,-0.15em,,,
outros,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
outros,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,G,acorde_BAIXO_-track_copy,acorde_BAIXO_-track copy,9pt,,-0.15em,,,
outros,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,B,acorde_NADA,acorde_NADA,,,0em,,,
outros,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,F,acorde_BAIXO_-track_copy,acorde_BAIXO_-track copy,9pt,,-0.15em,,,
outros,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,F,acorde_NADA,acorde_NADA,,,0em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
outros,E,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
outros,D,acorde_NADA,acorde_NADA,,,0em,,,
outros,6,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,,,,
outros,A,acorde_NADA,acorde_NADA,,,0em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt_-track,"acorde_NUMEROS_9pt_shift2,5pt_-track",9pt,2.5pt,-0.22em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo__track100,acorde_NUMEROS_9pt_shift(baixo)_track100,9pt,,0.1em,,,
outros,E,acorde_NADA,acorde_NADA,,,0em,,,
outros,+,acorde_AUMENTADO_8pt_shift4_5pt_-track,"acorde_AUMENTADO_8pt_shift4,5pt_-track",8pt,4.5pt,-0.2em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
outros,11,acorde_NUMEROS_9pt_-track,acorde_NUMEROS_9pt_-track,9pt,,-0.1em,,,
outros,G,acorde_NADA,acorde_NADA,,,0em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
outros,/D,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,G,acorde_PRE-BEMOL_track-150_copy,acorde_PRE-BEMOL_track-150 copy,,,-0.21em,,,
outros,♭,acorde_BEMOL_9pt_track-230,acorde_BEMOL_9pt_track-230,9pt,,-0.23em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
outros,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,D,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
outros,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,F,acorde_NADA,acorde_NADA,,,0em,,,
outros,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
outros,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
outros,/C,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
